date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:00:53	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1656614999-ssl-df	https://alone.uz/robots.txt		(from )
02:00:53	16936/16936	---MCZ	200	added ('OK')	text/html	etag:%2236f7c1e4192893d66e6e2efa0167e0ab-ssl-df%22	https://alone.uz/	C:/My%20Web%20Sites/portfolio%20website/alone.uz/index.html	(from )
02:00:54	16697/16697	---MCZ	200	added ('OK')	text/css	etag:%220251553fb6bdcff2ab52cac0dfd85ee1-ssl-df%22	https://alone.uz/style.css	C:/My%20Web%20Sites/portfolio%20website/alone.uz/style.css	(from https://alone.uz/)
02:00:54	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://alone.uz/)
02:00:55	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/portfolio%20website/code.jquery.com/jquery-3.5.1.min.js	(from https://alone.uz/)
02:00:55	11748/11748	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-2de4%22	https://cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/typed.js/2.0.11/typed.min.js	(from https://alone.uz/)
02:00:55	8833/8833	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402f-2281%22	https://cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/jquery.waypoints.min.js	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/waypoints/4.0.1/jquery.waypoints.min.js	(from https://alone.uz/)
02:00:56	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf0-ad36%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/owl.carousel.min.js	(from https://alone.uz/)
02:00:56	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://alone.uz/)
02:00:57	20766/20766	---MCZ	200	added ('OK')	text/css	etag:W/%22bbfef9385083d307ad2692c0cf99f611%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	C:/My%20Web%20Sites/portfolio%20website/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from https://alone.uz/)
02:00:57	77118/77118	---M--	200	added ('OK')	image/png	etag:%22b477c1b10881b551eaaf3c5a594bafd4%22	https://static-00.iconduck.com/assets.00/web-developer-illustration-503x512-mega3xxj.png	C:/My%20Web%20Sites/portfolio%20website/static-00.iconduck.com/assets.00/web-developer-illustration-503x512-mega3xxj.png	(from https://alone.uz/)
02:00:59	8736/8736	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Mar%202023%2012:35:29	https://img.icons8.com/material-outlined/384/FFFFFF/mysql-logo.png	C:/My%20Web%20Sites/portfolio%20website/img.icons8.com/material-outlined/384/FFFFFF/mysql-logo.png	(from https://alone.uz/)
02:01:00	20654/20654	---M--	200	added ('OK')	image/png	etag:%2235484a259a5eef8c9b6f26ae22a7b9a7%22	https://uploads-ssl.webflow.com/5d2739e4cf8d9538f80af0a6/60f94f66cc29f16b75250ac7_Frame%20203.png	C:/My%20Web%20Sites/portfolio%20website/uploads-ssl.webflow.com/5d2739e4cf8d9538f80af0a6/60f94f66cc29f16b75250ac7_Frame%20203.png	(from https://alone.uz/)
02:01:01	4810/4810	---MCZ	200	added ('OK')	image/png	etag:W/%225c00894d-12ca%22	https://www.pngkey.com/png/full/235-2350323_white-icon-office-365-png-white-icon-azure.png	C:/My%20Web%20Sites/portfolio%20website/www.pngkey.com/png/full/235-2350323_white-icon-office-365-png-white-icon-azure.png	(from https://alone.uz/)
02:01:02	1936/1936	---M-Z	200	added ('OK')	application/javascript	etag:%22edf95c173ef4432ef34b98caad50afa9-ssl-df%22	https://alone.uz/script.js	C:/My%20Web%20Sites/portfolio%20website/alone.uz/script.js	(from https://alone.uz/)
02:01:03	117697/117697	---M--	200	added ('OK')	image/jpeg	etag:CKLmhJGAyusCEAE=	https://images.squarespace-cdn.com/content/v1/5c331c4b365f02265240d55d/1548174164955-73TUJ3LUJH1CGIE6XU1S/computer-kbd-1680x800-dk.jpg?format=2500w	C:/My%20Web%20Sites/portfolio%20website/images.squarespace-cdn.com/content/v1/5c331c4b365f02265240d55d/1548174164955-73TUJ3LUJH1CGIE6XU1S/computer-kbd-1680x800-dk9ee9.jpg	(from https://alone.uz/style.css)
02:01:03	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/My%20Web%20Sites/portfolio%20website/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
